name;location;price;currency;rating;checkin_date;checkout_date
Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;115.0;EUR;8.3;2024-07-15;2024-07-16
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;72.0;EUR;8.0;2024-07-15;2024-07-16
DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;60.0;EUR;7.6;2024-07-15;2024-07-16
Europa Style;Gutleutviertel, Frankfurt;112.0;EUR;8.4;2024-07-15;2024-07-16
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;113.0;EUR;8.0;2024-07-15;2024-07-16
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;148.0;EUR;8.3;2024-07-15;2024-07-16
Hampton By Hilton Frankfurt City Centre East;Ostend, Frankfurt;86.0;EUR;8.4;2024-07-15;2024-07-16
Holiday Inn Frankfurt - Alte Oper, an IHG Hotel;Bahnhofsviertel, Frankfurt;94.0;EUR;8.3;2024-07-15;2024-07-16
Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-15;2024-07-16
Hotel Europa Life;Gutleutviertel, Frankfurt;78.0;EUR;8.3;2024-07-15;2024-07-16
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;102.0;EUR;8.4;2024-07-15;2024-07-16
Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;58.0;EUR;7.6;2024-07-15;2024-07-16
Maingau Hotel;Sachsenhausen, Frankfurt;81.0;EUR;7.9;2024-07-15;2024-07-16
Meliá Frankfurt City;Westend, Frankfurt;130.0;EUR;8.5;2024-07-15;2024-07-16
Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-15;2024-07-16
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-15;2024-07-16
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;96.0;EUR;8.0;2024-07-15;2024-07-16
Pearl Design Hotel - Frankfurt City;Gutleutviertel, Frankfurt;73.0;EUR;7.6;2024-07-15;2024-07-16
Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;63.0;EUR;8.4;2024-07-15;2024-07-16
Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;62.0;EUR;8.2;2024-07-15;2024-07-16
Premier Inn Frankfurt Westend;Westend, Frankfurt;62.0;EUR;8.7;2024-07-15;2024-07-16
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;116.0;EUR;8.2;2024-07-15;2024-07-16
Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;106.0;EUR;8.5;2024-07-15;2024-07-16
Staycity Aparthotels Frankfurt Airport;Frankfurt Airport Area, Frankfurt;94.0;EUR;8.6;2024-07-15;2024-07-16
Villa Westend Hotel an der Messe;Westend, Frankfurt;90.0;EUR;7.9;2024-07-15;2024-07-16
the niu Charly;Bahnhofsviertel, Frankfurt;70.0;EUR;8.2;2024-07-15;2024-07-16
