name;rating;price_2024-07-01;price_2024-07-02;price_2024-07-03;price_2024-07-04;price_2024-07-05;price_2024-07-06;price_2024-07-07;price_2024-07-08;price_2024-07-09;price_2024-07-10;price_2024-07-11;price_2024-07-12;price_2024-07-13;price_2024-07-14;price_2024-07-15;price_2024-07-16;price_2024-07-17;price_2024-07-18;price_2024-07-19;price_2024-07-20;price_2024-07-21;price_2024-07-22;price_2024-07-23;price_2024-07-24;price_2024-07-25;price_2024-07-26;price_2024-07-27;price_2024-07-28;price_2024-07-29;price_2024-07-30;count;min;max;average
Premier Inn Frankfurt Westend;8.7;;;;;;;64.0;64.0;66.0;68.0;;;86.0;60.0;62.0;62.0;64.0;63.0;64.0;62.0;60.0;60.0;60.0;60.0;61.0;70.0;74.0;60.0;60.0;59.0;23;59.0;86.0;64.045
NH Collection Frankfurt Spin Tower;8.7;218.0;;;;158.0;149.0;129.0;134.0;134.0;134.0;125.0;136.0;139.0;118.0;118.0;118.0;;118.0;;118.0;118.0;118.0;118.0;118.0;;118.0;118.0;118.0;118.0;118.0;25;118.0;218.0;129.5
Citadines City Centre Frankfurt;8.6;;;;;;133.0;;;;101.0;;126.0;;85.0;94.0;86.0;;85.0;;85.0;85.0;85.0;88.0;;;85.0;86.0;;85.0;86.0;16;85.0;133.0;93.0
Scandic Frankfurt Museumsufer;8.5;228.0;;;;;;107.0;106.0;122.0;122.0;;;;93.0;;99.0;;99.0;;;;99.0;100.0;;;108.0;108.0;101.0;98.0;106.0;16;93.0;228.0;113.067
Meliá Frankfurt City;8.5;;;;;231.0;170.0;203.0;140.0;144.0;;173.0;139.0;139.0;122.0;130.0;139.0;139.0;147.0;164.0;139.0;;130.0;139.0;;;152.0;173.0;130.0;120.0;139.0;23;120.0;231.0;150.091
Motel One Frankfurt Messe;8.5;243.0;;;;;143.0;;;;;123.0;133.0;93.0;;93.0;;;93.0;;93.0;;;;;;93.0;93.0;;;;11;93.0;243.0;120.0
Europa Style;8.4;;282.0;282.0;251.0;;;98.0;109.0;;138.0;;;;;112.0;112.0;;112.0;;;;112.0;112.0;;;109.0;;;103.0;112.0;15;98.0;282.0;146.0
Premier Inn Frankfurt City Centre;8.4;;;;;;;60.0;63.0;66.0;72.0;;;97.0;61.0;63.0;64.0;68.0;63.0;65.0;69.0;61.0;63.0;63.0;65.0;62.0;72.0;;59.0;59.0;59.0;22;59.0;97.0;65.429
Hyatt Place Frankfurt Airport;8.4;;155.0;189.0;;145.0;135.0;109.0;;110.0;;132.0;;;98.0;102.0;;;98.0;90.0;93.0;89.0;102.0;103.0;;98.0;;;86.0;94.0;102.0;20;86.0;189.0;112.105
Hampton By Hilton Frankfurt City Centre East;8.4;215.0;;263.0;;;;;;;;;;;86.0;86.0;88.0;;;;;86.0;91.0;90.0;;;;95.0;83.0;;92.0;12;83.0;263.0;115.909
